1	333	123.32	38.538
2	294	110.07	35.674
3	333	123.17	38.572
4	304	113.36	37.182
5	301	111.13	35.883
6	297	112.55	35.907
7	291	109.84	34.75
8	292	112.92	34.691
9	294	109.32	35.652
10	293	109.68	35.702
11	289	111.21	35.923
12	300	112.63	34.749
13	292	109.23	34.748
14	297	110.85	35.103
15	294	108.5	34.751
16	299	113.25	35.105
17	294	108.33	34.546
18	243	76.92	21.548
19	240	81.31	21.008
20	240	80.53	22.129
21	231	77.92	21.014
22	240	77.79	21.216
23	244	77.99	22.538
24	239	78.9	21.284
25	232	80.39	20.407
26	235	76.96	19.9
27	237	71.49	21.288
28	235	74.36	20.797
29	227	77.99	21.355
30	234	74.18	19.699
31	226	75.96	19.962
32	112	20.86	4.755
33	110	26.71	4.82
34	128	23.67	5.186
35	116	29.46	5.238
36	119	22.92	4.771
37	84	23.35	5.901
38	95	24.13	7.084
39	92	23.32	6.381
40	88	27.19	6.673
41	85	22.51	5.757
42	90	24.46	6.772
43	82	22.65	5.954
44	95	27.03	6.633
45	73	20.99	5.569

