1	17.146	6.528	2.229
2	16.575	6.223	2.085
3	17.687	6.677	2.148
4	16.186	5.998	1.989
5	16.324	6.227	2.001
6	16.378	6.160	2.005
7	16.069	6.030	1.990
8	16.123	5.996	2.017
9	15.957	6.059	1.939
10	16.038	6.140	1.962
11	16.433	6.009	1.924
12	16.090	6.113	1.958
13	16.027	6.023	1.944
14	16.318	6.206	1.949
15	15.850	6.131	1.940
16	16.147	6.170	1.957
17	15.867	5.990	1.952
18	10.036	3.273	0.930
19	10.058	3.664	0.954
20	9.604	3.310	0.915
21	10.521	3.310	0.957
22	10.192	3.537	0.996
23	10.098	3.415	0.937
24	10.215	3.259	0.923
25	9.933	3.379	0.890
26	9.581	3.481	0.868
27	10.056	3.439	0.928
28	9.767	3.272	0.891
29	9.850	3.296	0.937
30	9.734	3.195	0.875
31	9.486	3.339	0.908
32	2.730	0.559	0.123
33	2.038	0.564	0.120
34	2.532	0.483	0.111
35	2.165	0.598	0.113
36	2.795	0.431	0.106
37	3.138	0.873	0.230
38	3.436	0.732	0.206
39	3.049	0.864	0.202
40	3.264	0.936	0.258
41	3.204	0.930	0.211
42	3.023	0.876	0.224
43	3.104	0.839	0.235
44	3.466	1.095	0.283
45	2.462	1.125	1.000

